Session;N_Antagene;Type analyse;Tri;N° Animal 2020;Sexe;Assignation espèce;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;LOT043;lot;3-Exploitable;S04-032;Mâle;timidus;667720;2020/03/10 10:19:29.000;29;2020-04-20;moutiere;75093;moutiere_29;;;;;;;
S04_2020;LOT044;lot;3-Exploitable;S04-012;Mâle;timidus;655558;2020/02/18 13:05:48.000;35;2020-04-20;tete_sanguiniere;80899;tete_sanguinere_35;;;;;;;
S04_2020;LOT045;lot;1-Non exploitable;NA;-;NA;655520;2020/02/19 13:06:24.000;35;2020-04-20;tete_sanguiniere;82069;tete_sanguinere_35;;;;;;;
S04_2020;LOT046;lot;3-Exploitable;S04-012;Mâle;timidus;655572;2020/02/18 13:55:18.000;35;2020-04-20;tete_sanguiniere;82641;tete_sanguinere_35;;;;;;;
S04_2020;LOT047;lot;2-Douteux;NA;Mâle;timidus;655553;2020/02/19 13:43:00.000;35;2020-04-20;tete_sanguiniere;82647;tete_sanguinere_35;;;;;;;
S04_2020;LOT048;lot;1-Non exploitable;NA;-;NA;655566;2020/02/19 13:32:04.000;35;2020-04-20;tete_sanguiniere;82648;tete_sanguinere_35;;;;;;;
S04_2020;LOT049;lot;3-Exploitable;S04-033;Mâle;timidus;655522;2020/02/19 12:39:48.000;35;2020-04-20;tete_sanguiniere;82650;tete_sanguinere_35;;;;;;;
S04_2020;LOT050;lot;3-Exploitable;S04-033;Mâle;timidus;655512;2020/02/19 12:45:49.000;35;2020-04-20;tete_sanguiniere;82651;tete_sanguinere_35;;;;;;;
S04_2020;LOT051;lot;3-Exploitable;S04-012;Mâle;timidus;655568;2020/02/18 14:16:38.000;35;2020-04-20;tete_sanguiniere;83224;tete_sanguinere_35;;;;;;;
S04_2020;LOT052;lot;3-Exploitable;S02-008;Mâle;timidus;655757;2020/02/19 14:10:48.000;35;2020-04-20;tete_sanguiniere;83225;tete_sanguinere_35;;;;;;;
S04_2020;LOT053;lot;3-Exploitable;S04-031;Mâle;timidus;655517;2020/02/19 13:06:50.000;35;2020-04-20;tete_sanguiniere;83232;tete_sanguinere_35;;;;;;;
S04_2020;LOT054;lot;3-Exploitable;S04-034;Femelle;timidus;655501;2020/02/18 11:34:41.000;35;2020-04-20;tete_sanguiniere;83804;tete_sanguinere_35;;;;;;;
S04_2020;LOT055;lot;3-Exploitable;S04-012;Mâle;timidus;655556;2020/02/18 11:18:40.000;35;2020-04-20;tete_sanguiniere;83807;tete_sanguinere_35;;;;;;;
S04_2020;LOT056;lot;3-Exploitable;S04-027;Mâle;timidus;655574;2020/02/18 10:26:11.000;35;2020-04-20;tete_sanguiniere;84387;tete_sanguinere_35;;;;;;;
S04_2020;LOT057;lot;3-Exploitable;S04-012;Mâle;timidus;655502;2020/02/18 10:40:03.000;35;2020-04-20;tete_sanguiniere;84966;tete_sanguinere_35;;;;;;;
S04_2020;LOT058;lot;1-Non exploitable;NA;Mâle;timidus;655750;2020/02/19 11:25:30.000;35;2020-04-20;tete_sanguiniere;84975;tete_sanguinere_35;;;;;;;
S04_2020;LOT059;lot;3-Exploitable;S04-012;Mâle;timidus;655503;2020/02/18 10:22:51.000;35;2020-04-20;tete_sanguiniere;85547;tete_sanguinere_35;;;;;;;
S04_2020;LOT060;lot;3-Exploitable;S04-031;Mâle;timidus;655500;2020/02/19 11:15:49.000;35;2020-04-20;tete_sanguiniere;85556;tete_sanguinere_35;;;;;;;
S04_2020;LOT061;lot;3-Exploitable;S04-012;Mâle;timidus;630467;2020/02/18 10:09:58.000;35;2020-04-20;tete_sanguiniere;86128;tete_sanguinere_35;;;;;;;
S04_2020;LOT062;lot;2-Douteux;S04-027;Mâle;timidus;655515;2020/02/18 10:13:53.000;35;2020-04-20;tete_sanguiniere;86129;tete_sanguinere_35;;;;;;;
S04_2020;LOT063;lot;2-Douteux;NA;Mâle;timidus;630459;2020/02/17 10:58:23.000;35;2020-04-20;tete_sanguiniere;86131;tete_sanguinere_35;;;;;;;
S04_2020;LOT064;lot;3-Exploitable;S04-012;Mâle;timidus;630456;2020/02/17 10:09:20.000;35;2020-04-20;tete_sanguiniere;86711;tete_sanguinere_35;;;;;;;
S04_2020;LOT065;lot;3-Exploitable;S04-010;Mâle;timidus;630457;2020/02/17 10:16:49.000;35;2020-04-20;tete_sanguiniere;86712;tete_sanguinere_35;;;;;;;
S04_2020;LOT066;lot;3-Exploitable;S04-012;Mâle;timidus;630458;2020/02/17 10:37:06.000;35;2020-04-20;tete_sanguiniere;86713;tete_sanguinere_35;;;;;;;
S04_2020;LOT067;lot;3-Exploitable;S04-033;Mâle;timidus;655518;2020/02/19 10:14:30.000;35;2020-04-20;tete_sanguiniere;86716;tete_sanguinere_35;;;;;;;
S04_2020;LOT068;lot;3-Exploitable;S04-112;Femelle;europaeus;655794;2020/01/13 08:17:21.000;42;2020-04-20;rougnouse;87209;rougnouse_42;;;;;;;
S04_2020;LOT069;lot;3-Exploitable;S04-035;Mâle;timidus;629015;2019/12/16 12:06:02.000;48;2020-04-20;gipiere;87286;gipiere_48;;;;;;;
S04_2020;LOT070;lot;3-Exploitable;S04-035;Mâle;timidus;629013;2019/12/16 11:30:37.000;48;2020-04-20;gipiere;87287;gipiere_48;;;;;;;
S04_2020;LOT071;lot;3-Exploitable;S04-113;Femelle;timidus;655797;2020/01/13 10:22:38.000;42;2020-04-20;rougnouse;87786;rougnouse_42;;;;;;;
S04_2020;LOT072;lot;3-Exploitable;S04-036;Mâle;timidus;655799;2020/01/13 09:58:46.000;42;2020-04-20;rougnouse;87787;rougnouse_42;;;;;;;
S04_2020;LOT073;lot;1-Non exploitable;NA;-;NA;630435;2019/12/17 12:09:08.000;48;2020-04-20;gipiere;87861;gipiere_48;;;;;;;
S04_2020;LOT074;lot;3-Exploitable;S04-037;Femelle;timidus;630434;2019/12/17 12:04:38.000;48;2020-04-20;gipiere;87862;gipiere_48;;;;;;;
S04_2020;LOT075;lot;3-Exploitable;S02-008;Mâle;timidus;630433;2019/12/17 11:36:08.000;48;2020-04-20;gipiere;87863;gipiere_48;;;;;;;
S04_2020;LOT076;lot;3-Exploitable;S04-012;Mâle;timidus;629012;2019/12/16 11:24:12.000;48;2020-04-20;gipiere;87868;gipiere_48;;;;;;;
S04_2020;LOT077;lot;3-Exploitable;S04-011;Femelle;timidus;629010;2019/12/16 10:52:44.000;48;2020-04-20;gipiere;87869;gipiere_48;;;;;;;
S04_2020;LOT078;lot;3-Exploitable;S04-037;Femelle;timidus;630432;2019/12/17 11:30:28.000;48;2020-04-20;gipiere;88444;gipiere_48;;;;;;;
S04_2020;LOT079;lot;3-Exploitable;S04-114;Mâle;timidus;655785;2020/01/13 09:01:03.000;42;2020-04-20;rougnouse;88952;rougnouse_42;;;;;;;
S04_2020;LOT080;lot;3-Exploitable;S04-038;Femelle;timidus;628983;2019/12/16 12:55:49.000;48;2020-04-20;gipiere;89031;gipiere_48;;;;;;;
S04_2020;LOT081;lot;3-Exploitable;S04-036;Mâle;timidus;655788;2020/01/13 10:52:56.000;42;2020-04-20;rougnouse;89529;rougnouse_42;;;;;;;
S04_2020;LOT082;lot;3-Exploitable;S04-034;Femelle;timidus;630506;2019/12/16 13:14:09.000;48;2020-04-20;gipiere;89611;gipiere_48;;;;;;;
S04_2020;LOT083;lot;3-Exploitable;S04-012;Mâle;timidus;629007;2019/12/16 10:06:37.000;48;2020-04-20;gipiere;89613;gipiere_48;;;;;;;
S04_2020;LOT084;lot;3-Exploitable;S04-038;Femelle;timidus;630507;2019/12/16 13:19:45.000;48;2020-04-20;gipiere;90192;gipiere_48;;;;;;;
S04_2020;LOT085;lot;3-Exploitable;S04-036;Mâle;timidus;655787;2020/01/13 11:23:33.000;42;2020-04-20;rougnouse;90690;rougnouse_42;;;;;;;
S04_2020;LOT086;lot;3-Exploitable;S04-039;Mâle;timidus;656161;2020/01/21 11:21:31.000;42;2020-04-20;rougnouse;90693;rougnouse_42;;;;;;;
S04_2020;LOT087;lot;3-Exploitable;S04-115;Mâle;timidus;656158;2020/01/21 10:53:11.000;42;2020-04-20;rougnouse;90695;rougnouse_42;;;;;;;
S04_2020;LOT088;lot;3-Exploitable;S04-116;Mâle;timidus;630508;2019/12/16 13:27:31.000;48;2020-04-20;gipiere;90772;gipiere_48;;;;;;;
S04_2020;LOT089;lot;3-Exploitable;S04-040;Femelle;timidus;630409;2019/12/16 14:51:06.000;48;2020-04-20;gipiere;90773;gipiere_48;;;;;;;
S04_2020;LOT090;lot;3-Exploitable;S04-036;Mâle;timidus;656460;2020/01/13 13:50:30.000;42;2020-04-20;rougnouse;91267;rougnouse_42;;;;;;;
S04_2020;LOT091;lot;3-Exploitable;S04-021;Femelle;timidus;655779;2020/01/13 11:41:58.000;42;2020-04-20;rougnouse;91270;rougnouse_42;;;;;;;
S04_2020;LOT092;lot;3-Exploitable;S04-039;Mâle;timidus;656166;2020/01/21 13:42:26.000;42;2020-04-20;rougnouse;91276;rougnouse_42;;;;;;;
S04_2020;LOT093;lot;1-Non exploitable;NA;-;NA;630426;2019/12/17 10:04:30.000;48;2020-04-20;gipiere;91348;gipiere_48;;;;;;;
S04_2020;LOT094;lot;3-Exploitable;S04-040;Femelle;timidus;630410;2019/12/16 14:56:48.000;48;2020-04-20;gipiere;91354;gipiere_48;;;;;;;
S04_2020;LOT095;lot;3-Exploitable;S02-009;Mâle;timidus;630438;2019/12/17 13:25:49.000;48;2020-04-20;gipiere;91355;gipiere_48;;;;;;;
S04_2020;LOT096;lot;3-Exploitable;S04-041;Mâle;timidus;630439;2019/12/17 13:36:14.000;48;2020-04-20;gipiere;91356;gipiere_48;;;;;;;
S04_2020;LOT097;lot;3-Exploitable;S04-039;Mâle;timidus;656162;2020/01/21 11:58:40.000;42;2020-04-20;rougnouse;91853;rougnouse_42;;;;;;;
S04_2020;LOT098;lot;3-Exploitable;S04-042;Mâle;timidus;656154;2020/01/21 11:50:47.000;42;2020-04-20;rougnouse;91854;rougnouse_42;;;;;;;
S04_2020;LOT099;lot;3-Exploitable;S04-117;Femelle;europaeus;630413;2019/12/16 15:13:43.000;48;2020-04-20;gipiere;91932;gipiere_48;;;;;;;
S04_2020;LOT100;lot;3-Exploitable;S04-011;Femelle;timidus;630412;2019/12/16 15:09:10.000;48;2020-04-20;gipiere;91933;gipiere_48;;;;;;;
S04_2020;LOT101;lot;3-Exploitable;S04-041;Mâle;timidus;630440;2019/12/17 13:59:14.000;48;2020-04-20;gipiere;91936;gipiere_48;;;;;;;
S04_2020;LOT102;lot;3-Exploitable;S04-040;Femelle;timidus;630417;2019/12/17 09:13:24.000;48;2020-04-20;gipiere;92510;gipiere_48;;;;;;;
S04_2020;LOT103;lot;3-Exploitable;S04-043;Femelle;europaeus;628976;2019/12/16 08:55:30.000;48;2020-04-20;gipiere;92512;gipiere_48;;;;;;;
S04_2020;LOT104;lot;3-Exploitable;S04-043;Femelle;europaeus;629006;2019/12/16 15:20:03.000;48;2020-04-20;gipiere;92514;gipiere_48;;;;;;;
S04_2020;LOT105;lot;3-Exploitable;S02-009;Mâle;timidus;630441;2019/12/17 14:13:12.000;48;2020-04-20;gipiere;92515;gipiere_48;;;;;;;
S04_2020;LOT106;lot;3-Exploitable;S04-118;Mâle;timidus;656201;2020-01-22 09:22:00;34;2020-04-20;pres_hauts;94793;pres_hauts_34;;;;;;;
S04_2020;LOT107;lot;3-Exploitable;S04-044;Mâle;timidus;656461;2020-01-22 09:58:18;34;2020-04-20;pres_hauts;94796;pres_hauts_34;;;;;;;
S04_2020;LOT108;lot;3-Exploitable;S04-045;Mâle;timidus;656205;2020-01-22 10:17:08;34;2020-04-20;pres_hauts;95376;pres_hauts_34;;;;;;;
S04_2020;LOT109;lot;3-Exploitable;S04-044;Mâle;timidus;656203;2020-01-22 10:31:20;34;2020-04-20;pres_hauts;95377;pres_hauts_34;;;;;;;
S04_2020;LOT110;lot;3-Exploitable;S04-045;Mâle;timidus;656454;2020-01-22 11:05:18;34;2020-04-20;pres_hauts;95379;pres_hauts_34;;;;;;;
S04_2020;LOT111;lot;3-Exploitable;S04-119;Femelle;europaeus;655752;2020-03-04;38;2020-04-20;villard;104711;villard_38;;;;;;;
S04_2020;LOT112;lot;3-Exploitable;S04-028;Mâle;timidus;655767;2020-03-04;38;2020-04-20;villard;104715;villard_38;;;;;;;
S04_2020;LOT113;lot;3-Exploitable;S04-120;Mâle;timidus;655773;2020-03-04;38;2020-04-20;villard;104716;villard_38;;;;;;;
S04_2020;LOT114;lot;3-Exploitable;S04-121;Mâle;europaeus;655758;2020-03-04;38;2020-04-20;villard;105292;villard_38;;;;;;;
S04_2020;LOT115;lot;3-Exploitable;S04-122;Femelle;timidus;655761;2020-03-04;38;2020-04-20;villard;105296;villard_38;;;;;;;
S04_2020;LOT116;lot;3-Exploitable;S04-028;Mâle;timidus;630521;2020-03-04;38;2020-04-20;villard;105874;villard_38;;;;;;;
S04_2020;LOT117;lot;3-Exploitable;S04-123;Femelle;europaeus;655771;2020-03-04;38;2020-04-20;villard;105876;villard_38;;;;;;;
S04_2020;LOT118;lot;3-Exploitable;S04-028;Mâle;timidus;655768;2020-03-04;38;2020-04-20;villard;105877;villard_38;;;;;;;
S04_2020;LOT119;lot;1-Non exploitable;NA;-;NA;630535;2020-03-04;38;2020-04-20;villard;105878;villard_38;;;;;;;
S04_2020;LOT120;lot;3-Exploitable;S04-028;Mâle;timidus;630531;2020-03-04;38;2020-04-20;villard;106456;villard_38;;;;;;;
S04_2020;LOT121;lot;3-Exploitable;S04-124;Mâle;europaeus;630534;2020-03-04;38;2020-04-20;villard;106459;villard_38;;;;;;;
S04_2020;LOT122;lot;3-Exploitable;S04-046;Mâle;europaeus;550110;2020/03/06 10:07:28.000;38;2020-04-20;villard;107034;villard_38;;;;;;;
S04_2020;LOT123;lot;3-Exploitable;S04-125;Mâle;europaeus;630527;2020-03-04;38;2020-04-20;villard;107037;villard_38;;;;;;;
S04_2020;LOT124;lot;3-Exploitable;S04-126;Femelle;europaeus;630532;2020-03-04;38;2020-04-20;villard;107039;villard_38;;;;;;;
S04_2020;LOT125;lot;3-Exploitable;S04-046;Mâle;europaeus;550095;2020/03/06 09:36:39.000;38;2020-04-20;villard;107615;villard_38;;;;;;;
S04_2020;LOT126;lot;3-Exploitable;S04-047;Mâle;europaeus;550122;2020/03/06 11:40:25.000;38;2020-04-20;villard;107616;villard_38;;;;;;;
S04_2020;LOT127;lot;3-Exploitable;S04-047;Mâle;europaeus;550109;2020/03/06 11:48:19.000;38;2020-04-20;villard;107617;villard_38;;;;;;;
