Session;N_Antagene;Région;Population;Projet;Code_lot ou Code_ech Client;Type analyse;Type prélèvement;Tri;N° Animal 2020;Sexe;Taux d'amplification ou IQ;Marker OK;Nb réplicats;Assignation espèce;Probabilité timidus;CI95_bottom timidus;CI95_up timidus;Commentaires ANTAGENE;LSA2;LSA3;LSA6;LSA8;OCELAMB;OCELS1B;SAT08;SAT12;SAT13;SOL30;SOL33;SOL8;ZFXY-SRY;Nb crottes lot;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;628855;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-003;Mâle;1;12;1;timidus;0,987;0,836;1;;243244;208208;172172;189191;117125;152160;200200;114122;125125;174182;218220;116118;XY;1;-;2020-01-30;;;;;;Roux;;;2413;983091;6354960;
S04_2020;628857;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-005;Mâle;1;12;1;timidus;0,997;0,966;1;;248248;206206;172172;189191;117117;160160;200200;118130;000000;174182;215220;116116;XY;1;-;2019-12-29;;;;;;Laurent;;Laus;;996218;6355872;
S04_2020;628859;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-067;Femelle;0,923076923076923;11;1;timidus;0,996;0,958;1;;248248;208218;172172;189191;117117;160174;200200;114114;000000;174182;215220;116116;XX;1;-;2020-01-02;;;;;;Roux;;;2261;996106;6355913;
S04_2020;628861;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-068;Mâle;1;12;1;timidus;0,994;0,93;1;;244248;216216;172172;191191;117117;162172;200200;114126;129129;174174;215220;116118;XY;1;-;2020-01-02;;;;;;Roux;;;2406;995042;6355005;
S04_2020;628862;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-006;Mâle;1;12;1;timidus;0,998;0,974;1;;244244;206206;172172;189191;117117;160160;200200;114114;129129;174174;220220;116116;XY;1;-;2020-01-02;;;;;;Roux;;;2444;994936;6354955;
S04_2020;628863;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-069;Femelle;0,846153846153846;10;1;timidus;0,998;0,973;1;;000000;216216;172172;000000;117117;160160;200200;114114;127129;174174;215215;116118;XX;1;-;2020-01-02;;;;;;Roux;;;2247;995963;6356041;
S04_2020;628865;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-070;Femelle;1;12;1;timidus;0,994;0,92;1;;248248;206206;172172;189191;117117;158160;200200;114130;125129;174182;215218;116118;XX;1;-;2020-01-30;;;;;;Roux;;;2158;983515;6355332;
S04_2020;628866;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-004;Mâle;1;12;1;timidus;0,791;0,413;1;;248257;208208;172172;189189;117117;174174;200200;114130;122127;172174;220220;116116;XY;1;-;2019-12-29;;;;;;Laurent;;Laus;;995204;6356486;
S04_2020;630305;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-071;-;0,846153846153846;11;1;timidus;0,994;0,924;1;;244244;206210;172172;189189;117117;160160;200200;114122;000000;174174;218220;116116;000000;1;-;;;;;;;Lombard;;Plateau Mallemort;;1005814;6381771;
S04_2020;630319;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-072;Femelle;1;12;1;timidus;0,998;0,978;1;;248248;206216;172172;189189;117117;160160;200200;114114;129129;174182;220220;116118;XX;1;-;;;;;;;Lombard;;Baraquements viraysse;;1006307;6382871;
