Session;N_LOT ANTAGENE;N_Antagene associés;Nb crottes lot;Timidus;Europaeus;Conclusion;Commentaire ANTAGENE;trace_sour;date_creat;nom_maille;id_lot;cod_maille;code_lot_Client
S04_2020;LOT220;550059 - 550091;2;non;oui;europaeus seul;;38;2020-04-20;villard;109363;villard_38;villard_38_109363
S04_2020;LOT221;655668 - 655672;2;oui;non;timidus seul;;8;2020-04-20;scluos;117675;scluos_8;scluos_8_117675
S04_2020;LOT222;626107 - 655670;2;oui;non;timidus seul;;8;2020-04-20;scluos;119419;scluos_8;scluos_8_119419
S04_2020;LOT225;628832 - 630301;2;oui;non;timidus seul;silica bleu;5;2020-04-20;laupon;122673;laupon_5;laupon_5_122673
S04_2020;LOT226;630288 - 655684;2;oui;non;timidus seul;silica bleu;5;2020-04-20;laupon;124414;laupon_5;laupon_5_124414
S04_2020;LOT228;655701 - 655713;2;oui;non;timidus seul;silica bleu;5;2020-04-20;laupon;124998;laupon_5;laupon_5_124998
S04_2020;LOT229;655660 - 655666;2;oui;non;timidus seul;;46;2020-04-20;adus;125822;adus_46;adus_46_125822
S04_2020;LOT230;655703 - 655715;2;oui;non;timidus seul;;5;2020-04-20;laupon;126161;laupon_5;laupon_5_126161
S04_2020;LOT231;656172 - 656174;2;oui;non;timidus seul;;5;2020-04-20;laupon;127320;laupon_5;laupon_5_127320
S04_2020;LOT232;626262 - 626275;2;non;non;aucune;;41;2020-04-20;sainte_marie;131147;sainte_marie_41;sainte_marie_41_131147
S04_2020;LOT233;626267 - 626270;2;oui;non;timidus seul;;41;2020-04-20;sainte_marie;131148;sainte_marie_41;sainte_marie_41_131148
S04_2020;LOT234;626255 - 626263;2;oui;non;timidus seul;;41;2020-04-20;sainte_marie;131150;sainte_marie_41;sainte_marie_41_131150
S04_2020;LOT235;626257 - 626268;2;oui;non;timidus seul;;41;2020-04-20;sainte_marie;131732;sainte_marie_41;sainte_marie_41_131732
S04_2020;LOT236;626261 - 626265;2;non;oui;europaeus seul;;41;2020-04-20;sainte_marie;132896;sainte_marie_41;sainte_marie_41_132896
S04_2020;LOT237;655657 - 655662;2;non;oui;europaeus seul;;32;2020-04-20;millefonts;133357;millefonts_32;millefonts_32_133357
S04_2020;LOT238;655525 - 655528 - 655538;3;oui;non;timidus seul;;3;2020-04-20;bois_delioras;19911;bois_delioras_3;bois_delioras_3_19911
S04_2020;LOT239;655514 - 655524 - 655562;3;oui;non;timidus seul;silica bleu;35;2020-04-20;tete_sanguiniere;83805;tete_sanguinere_35;tete_sanguinere_35_83805
S04_2020;LOT240;655559 - 655560 - 655570;3;oui;non;timidus seul;;35;2020-04-20;tete_sanguiniere;84389;tete_sanguinere_35;tete_sanguinere_35_84389
S04_2020;LOT241;630455 - 630464 - 630465;3;oui;non;timidus seul;silica bleu;35;2020-04-20;tete_sanguiniere;86710;tete_sanguinere_35;tete_sanguinere_35_86710
S04_2020;LOT242;655793 - 655796 - 655798;3;oui;non;timidus seul;;42;2020-04-20;rougnouse;88367;rougnouse_42;rougnouse_42_88367
S04_2020;LOT243;628982 - 629008 - 629009;3;oui;non;timidus seul;;48;2020-04-20;gipiere;88450;gipiere_48;gipiere_48_88450
S04_2020;LOT244;630503 - 630504 - 630505;3;oui;non;timidus seul;;48;2020-04-20;gipiere;89612;gipiere_48;gipiere_48_89612
